title;category;desc;url
zotero;primaere; bibliography tool;https://www.zotero.org/support/beta_builds
ZK/U moabit;LIT/ART/CON/CAL;;https://www.zku-berlin.org
ZFL;secundaere; leibniz zentrum für literatur- und kulturforschung berlin.;https://www.zfl-berlin.org/das-zfl.html
ZENODO;primaere; research base;https://www.zenodo.org
yopad.eu;alii;;https://yopad.eu
yiddishbookcenter;arkkiv;;https://www.yiddishbookcenter.org/collections
www.biorxiv.org;EXKURS;;https://www.biorxiv.org
wolfgang koeppen;arkkiv;;http://www.koeppen-jugend.de
wochendämmerung;LIT/ART/CON/CAL; BLN world view;https://wochendaemmerung.de
William Labov;linguistics;;https://www.ling.upenn.edu/~wlabov/
wikisource;arkkiv; textedition;https://de.wikisource.org/wiki/Index:Koller_-_Der_Zauberstein.pdf
wikipedia on greek mythology;EXKURS;;https://de.wikipedia.org/wiki/Liste_der_Gestalten_der_griechischen_Mythologie/A
wikipedia;scient;;https://www.wikipedia.de
wikimedia extensions;tech;;https://www.mediawiki.org/wiki/Manual:Extensions
wikimedia API;tech;;https://de.wikisource.org/w/api.php
whiteboard;content; #10283;https://mycampus.imp.fu-berlin.de/x/UxPj6c
wetter corbusierhaus;content;;https://www.ecowitt.net/home/share?authorize=TWXHM3
weltliteratur;secundaere; :black market for the digital humanities:;https://weltliteratur.net
WebLicht;linguistics; NLP toolchains for e.g. EXMARaLDA PoS tagging etc.;https://weblicht.sfs.uni-tuebingen.de/weblicht/
WALS world atlas of language structures;linguistics;;https://wals.info/feature/67A#2/25.5/148.2
w.g. sebald lexikon;arkkiv; #73284.;http://www.wgsebald.de
voyant tools;linguistics; online text analysis;https://voyant-tools.org
votingo FUB;alii; umfragetool, simple;https://votingo.cedis.fu-berlin.de
voebb.de;primaere; homepage verbund öffentlicher bibliotheken in BLN;https://voebb.de
userpage DAV;content;;https://webdav.zedat.fu-berlin.de
uni potsdam;primaere;;https://www.uni-potsdam.de/de/svm/index
UNI AK wien;LIT/ART/CON/CAL; institut für sprachkunst der universität für angewandte kunst wien;https://sprachkunst.uni-ak.ac.at
ultraschall bln;LIT/ART/CON/CAL;;https://ultraschallberlin.de
ULB sachsen-anhalt;primaere; ;http://digital.bibliothek.uni-halle.de/hd/
UCSB santa barbara corpus;corpusLX; of spoken american english;https://www.linguistics.ucsb.edu/research/santa-barbara-corpus
UB heidelberg;primaere;;https://www.ub.uni-heidelberg.de/helios/Welcome.html
UB Bern linguistik online;primaere;;https://bop.unibe.ch/linguistik-online/
TWL;content;;https://wholelifeacademy.hkw.de/index.php/apps/circles/
tweepy;corpusLX; fetch twitter data;https://docs.tweepy.org/en/stable/getting_started.html
treetagger;linguistics; ;https://cis.uni-muenchen.de/~schmid/tools/TreeTagger/
transphilosophen;LIT/ART/CON/CAL;;http://transphilosophisch.de
transmediale;LIT/ART/CON/CAL;;https://transmediale.de/journal
translationista;LIT/ART/CON/CAL; s. bernofsky;https://translationista.com/2022/09/notes-from-the-magic-mountain-9-12-22.html
transkribus;alii; OCR;https://readcoop.eu/transkribus
time has fallen asleep in the afternoon sunshine;arkkiv;;http://timehasfallenasleepintheafternoonsunshine.be
text processing API;linguistics; natural language analysis APIs;http://text-processing.com
TEI conversion;linguistics;;https://oxgarage2.tei-c.org/
tegel media;LIT/ART/CON/CAL;;https://tegelmedia.net/#content
tanakh;arkkiv;;http://www.tanach.us
TAINACAN;arkkiv; wordpress archive plugin;https://wordpress.org/plugins/tainacan/
taguette;linguistics;;https://www.taguette.org/getting-started.html
synergiewissen;secundaere; WIKI open acces lexikon.;https://www.zflprojekte.de/synergie/doku.php
swisscollections;arkkiv; portal swiss bib / archive;https://swisscollections.ch
stanfordNLP;linguistics; PoS tagging tools;https://nlp.stanford.edu/software/tagger.shtml
stanford parser](http://nlp.stanford.edu:8080/parser/) NO. \> [this repo;linguistics;;https://github.com/stanfordnlp/CoreNLP
stackoverflow;tech;;https://stackoverflow.com/questions
stabi hamburg;primaere;;https://digitalisate.sub.uni-hamburg.de/startseite.html
stabi;primaere; ;https://digital.staatsbibliothek-berlin.de
SSH open marketplace;scient; DH portal;https://marketplace.sshopencloud.eu
Sprachtheorie;linguistics;;https://www.christianlehmann.eu/ling/ling_theo/index.html
sprachlog;LIT/ART/CON/CAL; a. stefanowitsch;http://www.sprachlog.de/2011/12/14/frauen-natuerlich-ausgenommen/
sprache und wissen;secundaere;;http://sprache-und-wissen.de
SoSci survey;alii; umfragetool, komplex;https://www.soscisurvey.de/admin/index.php
sketch engine;corpusLX;;https://auth.sketchengine.eu/#login
SIL glossary of linguistic terms;linguistics;;https://glossary.sil.org/term
shiny dracor;linguistics; drama networks;https://shiny.dracor.org
serpentmagazine;LIT/ART/CON/CAL;;https://serpentmagazine.github.io
semantic scholar;primaere;;https://www.semanticscholar.org
semantic mediawiki;scient;;https://www.semantic-mediawiki.org/wiki/Semantic_MediaWiki
sarah raich;LIT/ART/CON/CAL; autorin;https://www.sarah-raich.de/die-fehlenden-buecher
sanfte zerstörung;LIT/ART/CON/CAL; gendergaga 4u;https://sanfte-zerstoerung.de/index.php
sammeln;arkkiv; wissenschaftlicher objekte.;https://sammeln.hypotheses.org/category/was-sind-sammlungen
sage dictionary of statistics;math;;https://methods.sagepub.com/reference/the-sage-dictionary-of-statistics) (fu vpn
rust manual;tech;;https://doc.rust-lang.org/book/title-page.html
rust crates;tech;;https://crates.io
russisch;language;;http://www.russian-online.net/de_start/grammatik/index.php
Rstudio cloud;math;;https://posit.cloud
riseup etherpad;alii;;https://pad.riseup.net
RFTagger;linguistics; ;https://www.cis.lmu.de/~schmid/tools/RFTagger/
rextester;math; -//-;https://rextester.com/IXOWO88708
reverso.net;language;;https://konjugator.reverso.net/konjugation-russisch-verb-%D1%83%D1%87%D0%B8%D1%82%D1%8C%D1%81%D1%8F.html
REPL.IT;tech;;https://replit.com/@JuliaNakotte/rainbow-poem#main.py
regexr;tech;;https://regexr.com
regex101;tech;;https://regex101.com
regex quick;tech;;https://ahkde.github.io/docs/misc/RegEx-QuickRef.htm#Common
regex compend;tech;;https://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap09.html
redirect.li;tech;;https://redirect.li
REDE;linguistics; regionalsprachenatlas D;https://www.regionalsprache.de
reaktanz;linguistics; R-packages (NLP / psych / various) ;https://reaktanz.de/?c=hacking&s=koRpus
RAE;corpusLX; corpus spanisch;http://corpus.rae.es/creanet.html
R.R.R.;LIT/ART/CON/CAL;;http://rrr.haus-des-wandels.de
R Studio;math;;https://www.rstudio.com
R string processing;linguistics;;https://stringi.gagolewski.com
QUIDEX: schlüsselstellen;secundaere; HU project cross referencing secundaere;https://pages.cms.hu-berlin.de/schluesselstellen/quidex/index.html?work=Judenbuche&lang=de
queer poets in greek;LIT/ART/CON/CAL;;https://queerpoets.com/maggie-smith/
QUALAMOS;primaere;;https://www.qalamos.net/content/index.xed
pypi;tech; python package index;https://pypi.org
projekt gutenberg-DE;primaere;;https://www.projekt-gutenberg.org
project gutenberg;primaere;;https://gutenberg.org/ebooks/
PRIMO;content;;https://fu-berlin.primo.exlibrisgroup.com/discovery/search?vid=49KOBV_FUB:FUB
pons latein;language;;https://de.pons.com/%C3%BCbersetzung/latein-deutsch/manus
plattdeutsches wörterbuch;language; ...wörterbuch der westmünsterländischen mundart;http://neon.niederlandistik.fu-berlin.de/de/plattdeutsch/wb?such=wichel
PINGO;alii; -//-;https://pingo.coactum.de/
phyton manual greenteapress;tech;;https://greenteapress.com/thinkpython2/html/index.html
pflanzenfundgrube systematisch;EXKURS;;http://pflanzenfundgrube.zum.de/cgi-bin/show.app
perldoc;tech;;https://perldoc.perl.org/perlre#Regular-Expressions
pealim;language; ivrit;https://www.pealim.com/search/?q=%D7%A9%D7%A2%D7%A9%D7%A2
pantheon;scient; wikipedia stats visualisation;https://pantheon.world
pandoc manual;tech;;https://pandoc.org/MANUAL.html
OXYGEN;tech; oxygen xml-editor forum;https://www.oxygenxml.com/forum/
österreichische nationalbibliothek;primaere;;https://data.onb.ac.at/rec/AC10183969
OSF;secundaere; open research platform;https://osf.io
openrefine;math;;https://openrefine.org/docs
opendata repo halle;arkkiv;;https://opendata.uni-halle.de
onur solmaz;LIT/ART/CON/CAL; tech / LX / alii blog;https://solmaz.io/frequencies-german-definite-articles
online r compiler;math;;https://www.online-ide.com/online_r_compiler
online dictionaries linguistics;linguistics;;http://mmmann.de/Sprache/online-wbb-ling.html
OES platform;scient;;https://www.open-encyclopedia-system.org/about-OES/using_oes/index.html
OES;scient; open encyclopedia system;https://github.com/open-encyclopedia-system/
NY Times Archive;corpusLX; institutional account registration needed;https://fu-berlin.primo.exlibrisgroup.com/permalink/49KOBV_FUB/1v1tp5h/alma9961302613102883
no.sketch.engine;corpusLX; korpus DB;https://nlp.fi.muni.cz/trac/noske
netzschleuder;arkkiv;;https://networks.skewed.de
nachtkritik;LIT/ART/CON/CAL;;https://nachtkritik.de/index.php?option=com_content&view=featured&Itemid=100190
mycore;arkkiv; repository framework;https://www.mycore.de
MX lookup tool;tech;;https://mxtoolbox.com/MXLookup.aspx) (mail server check
münchener digitalisierungszentrum;primaere;;https://www.digitale-sammlungen.de/index.html?c=sammlungen_liste&l=de%7Cm%C3%BCnchener%20digitalisierungszentrum
