h1,url,desc
DGD,<https://dgd.ids-mannheim.de/>, mannheim. corpus-datenbank für gesprochenes deutsch.
netzschleuder](https://networks.skewed.de) / [konect.cc,<http://konect.cc>, networks repositories
GaGa,<https://www.gaga.net/pgdp/default.php>, :gemeinsam an gutenberg arbeiten:
"COST-ELTeC](https://distantreading.github.io/ELTeC/), (linktree [1](https://lipogg.github.io/textanalyse-mit-r/exkurs-xml-tei-und-xpath.html#wo-findet-man-korpora-die-in-xml-tei-ausgezeichnet-sind) / [2",<https://github.com/COST-ELTeC/ELTeC>,)
DraCOR,<https://dracor.org>," drama corpora, multiL"
yiddishbookcenter](https://www.yiddishbookcenter.org/collections) \> [ocr,<https://ocr.yiddishbookcenter.org/accounts/login/>, Steven Spielberg Digital Yiddish Library
wikisource,<https://de.wikisource.org/wiki/Index:Koller_-_Der_Zauberstein.pdf>, textedition
DWDS,<https://dwds.de>, digitales wörterbuch der deutschen sprache
invenio framework,<https://invenio.readthedocs.io/en/latest/getting-started/quickstart/installation.html#create-an-invenio-instance>," desperately trying to build up archive, NO."
macht.sprache,<https://www.machtsprache.de/>, englisch/deutsche übersetzung prekärer begriffe
denkmaldatenbank,<http://www.stadtentwicklung.berlin.de/denkmal/liste%5C_karte%5C_datenbank/de/denkmaldatenbank/>, berlin
swisscollections,<https://swisscollections.ch>, portal swiss bib / archive
ferring stiftung,<https://ferring-stiftung.de/inselarchive/archiv/>, archiv der inseln amrum und föhr.
w.g. sebald lexikon,<http://www.wgsebald.de>, #73284.
sammeln,<https://sammeln.hypotheses.org/category/was-sind-sammlungen>, wissenschaftlicher objekte.
HIDAweb,<http://www.landesarchiv-berlin-bilddatenbank.de/hida4web-LAB/search?browse-all=yes>, landesarchiv berlin bilddatenbank
archivar,<http://www.archive.nrw.de/archivar/index.html>, zeitschrift
archivschule,<https://www.archivschule.de/uploads/Forschung/ArchivwissenschaftlicheTerminologie/Terminologie.html>, terminologie
LEObw,<https://www.leo-bw.de/themenmodul/sudwestdeutsche-archivalienkunde/archivaliengattungen/sammlungen>, landeskunde entdecken online. zb: sammlungen.
AAD,<https://archiv.diplo.de/arc-de/das-politische-archiv>, politisches archiv des auswärtigen amts.
KALLIOPE,<https://kalliope-verbund.info/de/ueber-kalliope/historie.html>, nachlässe im verbund suchen.
HARVARD dataverse,<https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/L4OAKN&version=1.0>, zb. parlamentsreden
zotero,<https://www.zotero.org/support/beta_builds>, bibliography tool
hypotheses,<https://reticular.hypotheses.org/1745>, academic blogs
hathi trust,<https://catalog.hathitrust.org/Record/009802727>, digital library
ZENODO,<https://www.zenodo.org>, research base
stabi,<https://digital.staatsbibliothek-berlin.de>, 
ULB sachsen-anhalt,<http://digital.bibliothek.uni-halle.de/hd/>, 
goethe uni frankfurt,<http://sammlungen.ub.uni-frankfurt.de>, 
voebb.de,<https://voebb.de>, homepage verbund öffentlicher bibliotheken in BLN
ingenta open,<https://www.ingentaopen.com/content/journals/22351272/28/2>, zeitschrift für germanistik etc.
kanopy,<https://fuberlin.kanopy.com/video/linguists-3>, science video platform
mediating modern poetry,<https://mmp.mml.ox.ac.uk>," oxford, karen leeder"
weltliteratur,<https://weltliteratur.net>, :black market for the digital humanities:
OSF,<https://osf.io>, open research platform
Lacan entziffern,<https://lacan-entziffern.de/anderer/metapher-und-metonymie/>, rolf nemitz
HiFoS,<http://www.hifos.uni-trier.de/index.html>," Projekt ""Historische Formelhafte Sprache und Traditionen des Formulierens"""
Germanistik...,<https://www.germanistik-im-netz.de/recherchieren/datenquellen/>, ...im Netz.
literaturwissenschaft...,<http://www.einladung-zur-literaturwissenschaft.de/index.html>, ...einladung zur.
CLIO-online,<https://www.clio-online.de>, fachportal für geschichte und geschichtswissenschaften.
synergiewissen,<https://www.zflprojekte.de/synergie/doku.php>, WIKI open acces lexikon.
ZFL,<https://www.zfl-berlin.org/das-zfl.html>, leibniz zentrum für literatur- und kulturforschung berlin.
GIB,<http://www.gib.uni-tuebingen.de/netzwerk/glossar/index.php?title=GIB_-_Glossar_der_Bildphilosophie:Portal>, glossar der bildphilosophie (uni tübingen)
ada fruit,<https://learn.adafruit.com/minty-boost/icharging>, mint tech
GitLab,<https://gitlab.informatik.uni-halle.de/explore/projects?non_archived=true&page=6&sort=latest_activity_desc>, git uni halle
destatis DB,<https://www-genesis.destatis.de/genesis/online>, statistisches bundesamt
EDQM,<https://www.edqm.eu/en/knowledge-database>, knowledge database pharmacy
HiSoN,<https://hison.org>, historical sociolinguistics network
jacobin/ada,<https://jacobin.de/>, socialist online magazine
translationista,<https://translationista.com/2022/09/notes-from-the-magic-mountain-9-12-22.html>, s. bernofsky
onur solmaz,<https://solmaz.io>, tech alii blog
fabrikzeitung,<https://www.fabrikzeitung.ch/still-jenny-from-the-block/#>, CH
lfb,<https://lfbrecht.de/events/>, literaturforum im brechthaus
IKA wien,<https://ika.akbild.ac.at>, institut für kunst und architektur
herrndorf,<https://www.wolfgang-herrndorf.de>, arbeit und struktur
UNI AK wien,<https://sprachkunst.uni-ak.ac.at>, institut für sprachkunst der universität für angewandte kunst wien
ERB,<https://europeanreviewofbooks.com>," european review of book, yet to be funded"
exit shabbes,<https://userblogs.fu-berlin.de/exitshabbes>, diskurspartikel enter/exit shabbes
sanfte zerstörung,<https://sanfte-zerstoerung.de/index.php>, gendergaga 4u
alles dicht,<https://allesdichtmachen.de>, online theaterpremieren
Ctrl+Alt+Dem,<https://alternative-democracy-research.org>, Jan Blommaert's research blog
letters from an american,<https://heathercoxrichardson.substack.com>, heather cox richardson
kon paper,<https://kon-paper.com>, zeitschrift
intrige,<https://intrige.ch>, magazin für junges theater
sarah raich,<https://www.sarah-raich.de/die-fehlenden-buecher>, autorin
wochendämmerung,<https://wochendaemmerung.de>, BLN world view
christina fjeldavlino,<https://christinafjeldavlino.home.blog>, blog norge
sprachlog,<http://www.sprachlog.de/2011/12/14/frauen-natuerlich-ausgenommen/>, a. stefanowitsch
b**books,<http://www.b-books.de/share.htm>,**
lauter niemand,<http://www.lauter-niemand.de>, literaturlabor
anwesenheitsnotiz,<https://anwesenheitsnotizen.wordpress.com/2020/03/25/onlinequellen%5C_fuer%5C_hausarbeiten>, linksammlung für uniarbeitenvonzuhause.
