"","category","title","url","desc","note","url.n"
"31","linguistics","AntConc","http://www.laurenceanthony.net/software/antconc/","laurence anthony corpus analysis tool","",""
"32","linguistics","ELAN","https://archive.mpi.nl/tla/elan","/ EXMARALDA","https://exmaralda.org",""
"33","linguistics","language archive","https://archive.mpi.nl/tla/accepted-metadata","on CMDI metadata (ELAN)","",""
"34","linguistics","CMDI maker","https://cmdi-maker.uni-koeln.de","","",""
"35","linguistics","jsSyntaxTree","http://www.ironcreek.net/syntaxtree/","","",""
"36","linguistics","- PoS tagging:","","","",""
"37","linguistics","	- treetagger","https://cis.uni-muenchen.de/~schmid/tools/TreeTagger/","","",""
"38","linguistics","	- RFTagger","https://www.cis.lmu.de/~schmid/tools/RFTagger/","","",""
"39","linguistics","	- stanfordNLP","https://nlp.stanford.edu/software/tagger.shtml","PoS tagging tools","",""
"40","linguistics","	- WebLicht","https://weblicht.sfs.uni-tuebingen.de/weblicht/","NLP toolchains for e.g. EXMARaLDA PoS tagging etc.","",""
"41","linguistics","	- DURM","https://www.semanticsoftware.info/durm-german-lemmatizer","german lemmatizer","",""
"42","linguistics","	- laurence anthony TagAnt","https://www.laurenceanthony.net/software/tagant/","","",""
"43","linguistics","	- stanford parser","http://nlp.stanford.edu:8080/parser/","NO. \> this repo","https://github.com/stanfordnlp/CoreNLP",""
"44","linguistics","TEI conversion","https://oxgarage2.tei-c.org/#","","",""
"45","linguistics","IPA","https://ipa.typeit.org/full/","/ 2nd","https://westonruter.github.io/ipa-chart/keyboard/",""
"46","linguistics","R string processing","https://stringi.gagolewski.com","","",""
"47","linguistics","SIL glossary of linguistic terms","https://glossary.sil.org/term","","",""
"48","linguistics","ELL","https://dbis.ur.de/detail.php?bib_id=fub&colors=&ocolors=&lett=fs&tid=0&titel_id=6277","Encyclopedia Language and Linguistics (Elsevier 2006) (VPN!)","",""
"49","linguistics","Sprachtheorie","https://www.christianlehmann.eu/ling/ling_theo/index.html ""Sprachtheorie""","","",""
"50","linguistics","online dictionaries linguistics","http://mmmann.de/Sprache/online-wbb-ling.html","","",""
"51","linguistics","GRAMMIS","https://grammis.ids-mannheim.de/progr@mm/4055","IDS","",""
"52","linguistics","living handbook of narratology","http://www.lhn.uni-hamburg.de/contents.html","","",""
"53","linguistics","WALS world atlas of language structures","https://wals.info/feature/67A#2/25.5/148.2","","",""
"54","linguistics","glottolog","https://glottolog.org","catalogue of languages and families","",""
"55","linguistics","REDE","https://www.regionalsprache.de","regionalsprachenatlas D","",""
"56","linguistics","AADG","https://prowiki.ids-mannheim.de//bin/view/AADG/WebHome","IDS - Atlas zur Aussprache des deutschen Gebrauchsstandards","",""
"57","linguistics","linguistic atlas project","https://linguisticatlasproject.org","LANE","",""
"58","linguistics","GAIS","http://prowiki.ids-mannheim.de/bin/view/GAIS/TranskriptionIndex","transkriptionsindex","",""
"59","linguistics","GATE","https://gate.ac.uk/sale/tao/index.html","NLP framework","",""
"60","linguistics","Carto Dialect","http://lig-tdcge.imag.fr/cartodialect5/#/","atlas linguistique de france","",""
"61","linguistics","William Labov","https://www.ling.upenn.edu/~wlabov/","","",""
"62","tech","stackoverflow","https://stackoverflow.com/questions","","",""
"63","tech","markdown comp","https://spec.commonmark.org/0.30/","","",""
"64","tech","bookdown","https://bookdown.org/yihui/rmarkdown/","RMarkdown compendium","",""
"65","tech","mdbook","https://rust-lang.github.io/mdBook/guide/installation.html","simple but great markdown book creator","",""
"66","tech","pandoc manual","https://pandoc.org/MANUAL.html","","",""
"67","tech","CSS comp","https://developer.mozilla.org/de/docs/Web/CSS/float","","",""
"68","tech","- regular expressions:","","","",""
"69","tech","	- regex quick","https://ahkde.github.io/docs/misc/RegEx-QuickRef.htm#Common","","",""
"70","tech","	- regex compend","https://pubs.opengroup.org/onlinepubs/9699919799/basedefs/V1_chap09.html","","",""
"71","tech","	- ICU","https://unicode-org.github.io/icu/userguide/strings/regexp.html","","",""
"72","tech","	- regexr","https://regexr.com","","",""
"73","tech","	- perldoc","https://perldoc.perl.org/perlre#Regular-Expressions","","",""
"74","tech","	- regex101","https://regex101.com","","",""
"75","tech","html manual w3 schools","https://www.w3schools.com/html/","","",""
"76","tech","phyton manual greenteapress","https://greenteapress.com/thinkpython2/html/index.html","","",""
"77","tech","rust manual","https://doc.rust-lang.org/book/title-page.html","/ crates","https://crates.io",""
"78","tech","pypi","https://pypi.org","python package index","",""
"79","tech","CTAN: latex package index","https://ctan.org/pkg/","","",""
"80","tech","REPL.IT","https://replit.com/@JuliaNakotte/rainbow-poem#main.py","/ codepen","https://codepen.io",""
"81","tech","HTTP statuscodes","https://de.wikipedia.org/wiki/HTTP-Statuscode#","","",""
"82","tech","redirect.li","https://redirect.li","/ ip2locationlite","https://www.ip2location.io/#ip2locationlite",""
"83","tech","OXYGEN","https://www.oxygenxml.com/forum/","oxygen xml-editor forum","",""
"84","tech","code script compression","https://freecodingtools.org/online-minifier/python","","",""
"85","tech","code translation","https://www.codeconvert.ai/app","","",""
"86","math","R Studio","https://www.rstudio.com","","",""
"87","math","Rstudio cloud","https://posit.cloud","","",""
"88","math","openrefine","https://openrefine.org/docs","","",""
"89","math","online\_r\_compiler","https://www.online-ide.com/online_r_compiler","","",""
"90","math","execute r online","https://www.tutorialspoint.com/execute_r_online.php","","",""
"91","math","rextester","https://rextester.com/IXOWO88708","-//-","",""
"92","math","sage dictionary of statistics","https://methods.sagepub.com/reference/the-sage-dictionary-of-statistics","(fu vpn)","",""
"93","language","DUDEN","https://www.munzinger.de/search/query?query.id=query-duden","","",""
"94","language","duden API","https://api.duden.io/?shell#introduction","","",""
"95","language","der grimm","http://woerterbuchnetz.de/cgi-bin/WBNetz/wbgui_py?sigle=DWB&mode=Vernetzung&hitlist=&patternlist=&lemid=GA00001#XGA00001","","",""
"96","language","pealim","https://www.pealim.com/search/?q=%D7%A9%D7%A2%D7%A9%D7%A2","ivrit","",""
"97","language","morfix.il","https://www.morfix.co.il/%D7%9E%D7%99%D7%97%D7%93%D7%95%D7%AA","ivrit","",""
"98","language","langenscheidt schwedisch","https://de.langenscheidt.com/deutsch-schwedisch/ahnung","","",""
"99","language","russisch","http://www.russian-online.net/de_start/grammatik/index.php","","",""
"100","language","plattdeutsches wörterbuch","http://neon.niederlandistik.fu-berlin.de/de/plattdeutsch/wb?such=wichel","...wörterbuch der westmünsterländischen mundart","",""
"101","language","friesisch.net","https://www.friesisch.net","nordfriesisches onlinewörterbuch","",""
"102","language","pons latein","https://de.pons.com/%C3%BCbersetzung/latein-deutsch/manus","","",""
