title,url,cat,notes
"Department of Justice | Search Full Epstein Library | United States Department of Justice","https://www.justice.gov/epstein/search","corpusLX",""
"bnosac/audio.whisper: Transcribe audio files using the "Whisper" Automatic Speech Recognition model from R","https://github.com/bnosac/audio.whisper","corpusLX","R implementation"
"The Berlin Studies (Carol W. Pfaff)","https://zenodo.org/records/17868211","corpusLX","zenodo repository EKMAUS, SES"
"DIP - Das Rechercheportal","https://dip.bundestag.de/%C3%BCber-dip#content","corpusLX","german parliament protocols"
"Search OCR/HTR model repository","https://zenodo.org/communities/ocr_models/records?q=&l=list&p=1&s=10&sort=newest","corpusLX","Skip to main Communities My dashboard Log in Sign up OCR/HTR model repository New upload Records Members Curation policy Versions View all versions Help Search guide About About Policies Infrastructure Principl"
"Wortschatz Leipzig","https://wortschatz.uni-leipzig.de/de","corpusLX","Wortschatz-Portal der Universität Leipzig, der Sächsischen Akademie der Wissenschaften zu Leipzig und des Instituts für Angewandte Informatik (InfAI)"
"netzschleuder","https://networks.skewed.de/","arkkiv",""
"konect.cc","http://konect.cc/","arkkiv",""
"GaGa","https://www.gaga.net/pgdp/default.php","arkkiv",""
"COST-ELTeC","https://distantreading.github.io/ELTeC/","arkkiv",""
"1","https://lipogg.github.io/textanalyse-mit-r/exkurs-xml-tei-und-xpath.html#wo-findet-man-korpora-die-in-xml-tei-ausgezeichnet-sind","arkkiv",""
"2","https://github.com/COST-ELTeC/ELTeC","arkkiv",""
"lyrikline.org","https://www.lyrikline.org/de/gedichte/svalbard-paem-15118","arkkiv",""
"einakter datenbank","https://einakter.dracor.org/plays","arkkiv",""
"DraCOR","https://dracor.org/","arkkiv",""
"de velt fun yidish","https://yiddish.haifa.ac.il/Stories.html","arkkiv",""
"yiddishbookcenter","https://www.yiddishbookcenter.org/collections","arkkiv",""
"ocr","https://ocr.yiddishbookcenter.org/accounts/login/","arkkiv",""
"wikisource","https://de.wikisource.org/wiki/Index:Koller_-_Der_Zauberstein.pdf","arkkiv",""
"opendata repo halle","https://opendata.uni-halle.de/","arkkiv",""
"tanakh","http://www.tanach.us/","arkkiv",""
"DWDS","https://dwds.de/","arkkiv",""
"invenio framework","https://invenio.readthedocs.io/en/latest/getting-started/quickstart/installation.html#create-an-invenio-instance","arkkiv",""
"TAINACAN","https://wordpress.org/plugins/tainacan/","arkkiv",""
"mycore","https://www.mycore.de/","arkkiv",""
"macht.sprache","https://www.machtsprache.de/","arkkiv",""
"gesetze-im-internet","http://www.gesetze-im-internet.de/index.html","arkkiv",""
"denkmaldatenbank","http://www.stadtentwicklung.berlin.de/denkmal/liste%5C_karte%5C_datenbank/de/denkmaldatenbank/","arkkiv",""
"bundesgesetzblätter","https://www.bgbl.de/xaver/bgbl/start.xav#__bgbl__%2F%2F*%5B%40attr_id%3D%27I_2021_16_inhaltsverz%27%5D__1618765792410","arkkiv",""
"literaturarchiv marbach.","http://www.dla-marbach.de/katalog","arkkiv",""
"archivportal D","https://www.archivportal-d.de/","arkkiv",""
"landesarchiv BW","https://www.landesarchiv-bw.de/ead","arkkiv",""
"swisscollections","https://swisscollections.ch/","arkkiv",""
"arsenal","http://films.arsenal-berlin.de/index.php","arkkiv",""
"leibniz institut","https://www.ifz-muenchen.de/das-archiv/","arkkiv",""
"aporee soundscapes","https://aporee.org/maps/","arkkiv",""
